Buy	YHOO	10	15.38	153.8	10:37:55
Buy	MSFT	10	29.62	296.2	10:38:3
Buy	GOOG	10	569.964	5699.64	10:38:15
Buy	AIG	10	35.1	351	10:38:31
Buy	HD	10	28.18	281.8	10:48:11
Sell	HD	10	28.18	281.8	10:48:33
Sell	GOOG	1	568.964	568.964	10:48:48
Sell	GOOG	9	569.964	5129.68	12:15:36
Sell	GOOG	9	569.964	5129.68	12:16:44
Buy	FRE	1	1.14	1.14	12:17:56
Sell	FRE	1	1.14	1.14	12:18:9
Sell	GOOG	1	569.964	569.964	12:19:38
Sell	GOOG	8	569.964	4559.71	12:19:51
Sell	GOOG	1	569.964	569.964	12:21:18
Sell	GOOG	8	569.964	4559.71	12:21:29
Buy	GOOG	5	569.964	2849.82	12:21:38
Buy	MSFT	3	30.62	91.86	12:21:44
Buy	FRE	1	1.14	1.14	12:23:44
Sell	FRE	1	1.14	1.14	12:23:57
Sell	FRE	1	2.14	2.14	12:26:8
Sell	FRE	8	1.14	9.12	12:26:31
Buy	GOOG	10	569.964	5699.64	12:30:37
Sell	YHOO	10	15.38	153.8	12:30:47
Buy	FRE	10	1.14	11.4	12:36:11
Sell	FRE	1	1.14	1.14	12:36:29
Sell	FRE	9	2.14	19.26	12:36:37
Buy	FRE	10	1.14	11.4	12:39:16
Sell	FRE	1	1.14	1.14	12:39:24
Buy	FRE	10	1.14	11.4	12:40:34
Sell	FRE	1	1.14	1.14	12:40:42
Buy	FRE	10	1.14	11.4	12:41:35
Sell	FRE	1	1.14	1.14	12:41:41
Sell	FRE	9	2.14	19.26	12:41:52
Buy	FRE	10	1.14	11.4	12:43:12
Sell	FRE	1	1.14	1.14	12:43:20
Sell	FRE	9	2.14	19.26	12:43:27
Buy	FRE	10	1.14	11.4	12:49:12
Sell	FRE	1	1.14	1.14	12:49:22
Sell	MSFT	10	30.62	306.2	12:49:33
Buy	MSFT	10	30.62	306.2	12:49:44
Sell	MSFT	1	29.62	29.62	12:49:59
Buy	GOOG	1	569.964	569.964	12:50:10
Sell	GOOG	1	568.964	568.964	12:50:18
Buy	FRE	1	1.14	1.14	12:53:47
Sell	FRE	1	1.14	1.14	12:53:57
Buy	FRE	1	1.14	1.14	12:55:9
Sell	FRE	1	1.14	1.14	12:55:20
Buy	FRE	1	1.14	1.14	12:55:31
Buy	AIG	1	32.1	32.1	12:55:45
Sell	AIG	1	32.1	32.1	12:55:57
Buy	FRE	1	1.14	1.14	12:58:3
Sell	FRE	1	1.14	1.14	12:58:16
Buy	GOOG	1	569.964	569.964	13:40:35
Sell	GOOG	1	569.964	569.964	13:41:0
